strike,CallOpenInt,CallVolume,CallIV,CallGamma,PutOpenInt,PutVolume,PutIV,PutGamma,Price,Days,CallGEX,PutGEX,TotalGamma,Weights,WeightedGEX,CumulativeGEX,Flip
130.0,67.0,53.0,2.231982,1.872198407175105e-11,2827.0,0.0,1.61029,1.872198407175105e-11,187.33,2,2.2009559197959326e-05,-0.0009286719978004629,-0.001813324877205007,0.5,-0.0009066624386025035,-0.0009066624386025035,182.5
135.0,53.0,4.0,2.099276,1.663103095879382e-09,2024.0,2.0,1.453572,1.663103095879382e-09,187.33,2,0.0015466060765794074,-0.05906284337729661,-0.1150324746014344,0.5,-0.0575162373007172,-0.0584228997393197,182.5
140.0,213.0,0.0,1.888115,7.216392764964449e-08,6623.0,541.0,1.302422,7.216392764964449e-08,187.33,2,0.2697021673160532,-8.386091333963472,-16.23277833329484,0.5,-8.11638916664742,-8.174812066386739,182.5
145.0,43.0,6.0,1.684536,1.5953194042471535e-06,2543.0,657.0,1.197182,1.5953194042471535e-06,187.33,2,1.2036515344128913,-71.18339190725543,-139.95948074568508,0.5,-69.97974037284254,-78.15455243922928,182.5
149.0,27.0,0.0,1.526793,1.263142700572057e-05,1294.0,6.0,1.079258,1.263142700572057e-05,187.33,2,5.9841276828276095,-286.79486005847883,-561.6214647513025,0.5,-280.81073237565124,-358.96528481488053,182.5
150.0,163.0,8.0,1.487951,2.0444163807829378e-05,9359.0,371.0,1.049871,2.0444163807829378e-05,187.33,2,58.471148854900804,-3357.2483566442743,-6597.554415578747,0.5,-3298.7772077893733,-3657.742492604254,182.5
152.5,69.0,12.0,1.389321,6.10719538090659e-05,1705.0,205.0,0.977274,6.10719538090659e-05,187.33,2,73.93934098883182,-1827.0518316805537,-3506.2249813834437,0.5,-1753.1124906917219,-5410.854983295976,182.5
155.0,166.0,32.0,1.29234,0.00016518349317837095,6288.0,484.0,0.960293,0.00016518349317837095,187.33,2,481.1266401776897,-18224.84526167056,-35487.43724298575,0.5,-17743.718621492873,-23154.57360478885,182.5
157.5,92.0,0.0,1.196959,0.00040700514100356977,5175.0,397.0,0.886598,0.00040700514100356977,187.33,2,657.010624963352,-36956.847654188554,-72599.6740584504,0.5,-36299.8370292252,-59454.41063401405,182.5
160.0,422.0,61.0,1.10295,0.0008959690192575047,13520.0,2422.0,0.847414,0.0008959690192575047,187.33,2,6634.223746079514,-212546.69442415884,-411824.94135615864,0.5,-205912.47067807932,-265366.88131209335,182.5
162.5,92.0,65.0,1.050896,0.0017658554301640823,4795.0,916.0,0.797919,0.0017658554301640823,187.33,2,2850.543304947729,-148569.07768722138,-291437.0687645473,0.5,-145718.53438227365,-411085.415694367,182.5
165.0,367.0,45.0,0.954029,0.0030121462753769706,16409.0,3740.0,0.745407,0.0030121462753769706,187.33,2,19396.652845313798,-867247.0750374772,-1695700.8443843268,0.5,-847850.4221921634,-1258935.8378865304,182.5
167.5,341.0,52.0,0.890773,0.004979726576650726,7002.0,1834.0,0.692623,0.004979726576650726,187.33,2,29795.07939628893,-611803.9470170531,-1164017.7352415284,0.5,-582008.8676207642,-1840944.7055072947,182.5
170.0,1023.0,197.0,0.792552,0.007794782105677846,36177.0,24969.0,0.641349,0.007794782105677846,187.33,2,139915.00224394744,-4947903.261172323,-9615976.51785675,0.5,-4807988.258928375,-6648932.9644356705,182.5
172.5,494.0,204.0,0.561025,0.011635067586283233,10235.0,10769.0,0.600353,0.011635067586283233,187.33,2,100851.07454469912,-2089495.4412246877,-3977288.733359977,0.5,-1988644.3666799886,-8637577.33111566,182.5
175.0,4765.0,3309.0,0.536378,0.016819644306509892,25968.0,23612.0,0.56743,0.016819644306509892,187.33,2,1406255.9819499117,-7663726.199218323,-12514940.434536824,0.5,-6257470.217268412,-14895047.54838407,182.5
177.5,3067.0,1469.0,0.538057,0.02396453683908147,10008.0,23905.0,0.543727,0.02396453683908147,187.33,2,1289637.0051544914,-4208244.912809309,-5837215.815309634,0.5,-2918607.907654817,-17813655.45603889,182.5
180.0,10191.0,5985.0,0.52204,0.03379471981319272,19646.0,52697.0,0.526365,0.03379471981319272,187.33,2,6042968.3869128255,-11649510.050955681,-11213083.328085711,0.5,-5606541.664042856,-23420197.120081745,182.5
182.5,9405.0,11352.0,0.514851,0.04517962506994955,12034.0,38191.0,0.514485,0.04517962506994955,187.33,2,7455659.97100048,-9539756.73482401,-4168193.5276470575,0.5,-2084096.7638235288,-25504293.883905273,182.5
185.0,26091.0,59139.0,0.504445,0.05338765529845149,9821.0,65875.0,0.510302,0.05338765529845149,187.33,2,24440846.480593033,-9199860.230957195,30481972.499271676,0.5,15240986.249635838,-10263307.634269435,182.5
187.5,13711.0,78856.0,0.509245,0.054649880974363324,10128.0,28171.0,0.511897,0.054649880974363324,187.33,2,13147495.227100786,-9711751.999130389,6871486.455940794,0.5,3435743.227970397,-6827564.406299038,182.5
190.0,41731.0,125180.0,0.513549,0.04955777923169492,7393.0,11287.0,0.518489,0.04955777923169492,187.33,2,36287353.79898193,-6428611.982360196,59717483.633243464,0.5,29858741.816621732,23031177.410322696,182.5
192.5,33854.0,39391.0,0.522,0.040832321689129134,2587.0,2612.0,0.519646,0.040832321689129134,187.33,2,24254857.90349576,-1853468.3463207756,44802779.11434997,0.5,22401389.557174984,45432566.96749768,182.5
195.0,38047.0,48087.0,0.533889,0.03108856408179161,3978.0,1152.0,0.534243,0.03108856408179161,187.33,2,20754188.280332953,-2169951.927331051,37168472.7060038,0.5,18584236.3530019,64016803.32049958,182.5
197.5,10008.0,14814.0,0.551257,0.022394750210536742,942.0,708.0,0.548886,0.022394750210536742,187.33,2,3932585.6485335957,-370153.4453355962,7124864.406395999,0.5,3562432.2031979994,67579235.52369757,182.5
200.0,32078.0,28265.0,0.572753,0.015664987938515618,7330.0,535.0,0.614193,0.015664987938515618,187.33,2,8817023.908844242,-2014738.6137486226,13604570.590191238,0.5,6802285.295095619,74381520.81879319,182.5
202.5,9006.0,8145.0,0.59213,0.010679874304689963,624.0,179.0,0.669092,0.010679874304689963,187.33,2,1687651.440978707,-116932.5448779384,3141437.792201537,0.5,1570718.8961007686,75952239.71489397,182.5
205.0,10684.0,5137.0,0.620286,0.007122858690453233,2547.0,172.0,0.804852,0.007122858690453233,187.33,2,1335281.6427870397,-318322.9449811485,2033917.3956117826,0.5,1016958.6978058913,76969198.41269986,182.5
207.5,6203.0,1923.0,0.655864,0.00461287492169299,342.0,65.0,0.910485,0.00461287492169299,187.33,2,502062.9003247015,-27681.043351773,948763.713945857,0.5,474381.8569729285,77443580.2696728,182.5
210.0,14760.0,2493.0,0.702185,0.002903599228478579,3254.0,76.0,0.95997,0.002903599228478579,187.33,2,751982.4420147889,-165782.57901870747,1172399.7259921627,0.5,586199.8629960814,78029780.13266888,182.5
212.5,3910.0,782.0,0.729209,0.001737841959605941,188.0,2.0,1.035545,0.001737841959605941,187.33,2,119226.20126860857,-5732.615303963788,226987.17192928956,0.5,113493.58596464478,78143273.71863353,182.5
215.0,8181.0,613.0,0.761313,0.0010017331228538112,756.0,18.0,1.219535,0.0010017331228538112,187.33,2,143794.77230036553,-13287.965757129488,261013.6130864721,0.5,130506.80654323605,78273780.52517676,182.5
217.5,6496.0,678.0,0.815508,0.0005174434911891287,64.0,2.0,1.178592,0.0005174434911891287,187.33,2,58978.4853718447,-581.0688213974847,116794.83310089442,0.5,58397.41655044721,78332177.9417272,182.5
220.0,12861.0,1741.0,0.869059,0.0002530068332267792,605.0,9.0,1.340391,0.0002530068332267792,187.33,2,57094.15629722337,-2685.7915060897394,108816.72958226726,0.5,54408.36479113363,78386586.30651835,182.5
222.5,3800.0,307.0,0.886546,0.00011985296959773251,7.0,0.0,1.315977,0.00011985296959773251,187.33,2,7991.2932187825745,-14.720803297757374,15953.144830969633,0.5,7976.572415484817,78394562.87893383,182.5
225.0,11932.0,172.0,0.935956,5.4070318258462704e-05,12.0,0.0,1.481804,5.4070318258462704e-05,187.33,2,11320.271453695812,-11.384785236703802,22617.773336918217,0.5,11308.886668459108,78405871.76560229,182.5
227.5,2064.0,50.0,0.984376,2.322036239413783e-05,0.0,0.0,1.549381,2.322036239413783e-05,187.33,2,840.9367980130672,-0.0,1681.8735960261345,0.5,840.9367980130672,78406712.7024003,182.5
230.0,5878.0,218.0,0.977156,9.494516052834108e-06,22.0,15.0,1.729854,9.494516052834108e-06,187.33,2,979.2353556092734,-3.6650523687315433,1951.1406064810838,0.5,975.5703032405419,78407688.27270354,182.5
232.5,6952.0,271.0,1.022488,3.698107590336085e-06,1.0,3.0,1.71313,3.698107590336085e-06,187.33,2,451.1011934723842,-0.06488797374458921,902.0726109972792,0.5,451.0363054986396,78408139.30900905,182.5
235.0,10272.0,31.0,1.067327,1.4024153932693876e-06,2.0,0.0,1.747527,1.4024153932693876e-06,187.33,2,252.76465876021737,-0.04921430271811086,505.43088891499855,0.5,252.71544445749927,78408392.0244535,182.5
237.5,2214.0,244.0,1.111594,5.092079808155294e-07,0.0,0.0,1.601126,5.092079808155294e-07,187.33,2,19.781421131647733,-0.0,39.562842263295465,0.5,19.781421131647733,78408411.80587463,182.5
